num_cands,num_voters,pm,vm,perc_diff_sc,perc_diff_sc_ec,perc_refine_sc,perc_supset_sc,perc_disjoint_sc,num_profiles
20,"(100, 101)",IAC,Beat Path,0.31884,0.27452,0.31884,0.0,0.0,50000
20,"(500, 501)",IAC,Beat Path,0.3265,0.22368,0.3265,0.0,0.0,50000
20,"(1000, 1001)",IAC,Beat Path,0.3267,0.2141,0.3267,0.0,0.0,50000
20,"(5000, 5001)",IAC,Beat Path,0.32232,0.19098,0.32232,0.0,0.0,50000
30,"(4, 5)",IAC,Beat Path,0.1423,0.51254,0.1423,0.0,0.0,50000
30,"(10, 11)",IAC,Beat Path,0.34012,0.49046,0.34012,0.0,0.0,50000
30,"(20, 21)",IAC,Beat Path,0.3904,0.43662,0.3904,0.0,0.0,50000
30,"(50, 51)",IAC,Beat Path,0.42664,0.3826,0.42664,0.0,0.0,50000
30,"(100, 101)",IAC,Beat Path,0.43588,0.34686,0.43588,0.0,0.0,50000
30,"(500, 501)",IAC,Beat Path,0.43674,0.29332,0.43674,0.0,0.0,50000
30,"(1000, 1001)",IAC,Beat Path,0.4397,0.28084,0.4397,0.0,0.0,50000
30,"(5000, 5001)",IAC,Beat Path,0.4345,0.26234,0.4345,0.0,0.0,50000
5,"(4, 5)",URN-R,Beat Path,8e-05,0.11658,8e-05,0.0,0.0,50000
5,"(10, 11)",URN-R,Beat Path,0.00638,0.06348,0.00638,0.0,0.0,50000
5,"(20, 21)",URN-R,Beat Path,0.00914,0.04164,0.00914,0.0,0.0,50000
5,"(50, 51)",URN-R,Beat Path,0.01062,0.0239,0.01062,0.0,0.0,50000
5,"(100, 101)",URN-R,Beat Path,0.0106,0.01446,0.0106,0.0,0.0,50000
5,"(500, 501)",URN-R,Beat Path,0.01102,0.0084,0.01102,0.0,0.0,50000
5,"(1000, 1001)",URN-R,Beat Path,0.01036,0.0068,0.01036,0.0,0.0,50000
5,"(5000, 5001)",URN-R,Beat Path,0.011,0.00582,0.011,0.0,0.0,50000
7,"(4, 5)",URN-R,Beat Path,0.0007,0.14054,0.0007,0.0,0.0,50000
7,"(10, 11)",URN-R,Beat Path,0.01712,0.08538,0.01712,0.0,0.0,50000
7,"(20, 21)",URN-R,Beat Path,0.02248,0.0569,0.02248,0.0,0.0,50000
7,"(50, 51)",URN-R,Beat Path,0.02506,0.03442,0.02506,0.0,0.0,50000
7,"(100, 101)",URN-R,Beat Path,0.0253,0.02454,0.0253,0.0,0.0,50000
7,"(500, 501)",URN-R,Beat Path,0.02654,0.01646,0.02654,0.0,0.0,50000
7,"(1000, 1001)",URN-R,Beat Path,0.02728,0.01478,0.02728,0.0,0.0,50000
7,"(5000, 5001)",URN-R,Beat Path,0.02732,0.01422,0.02732,0.0,0.0,50000
10,"(4, 5)",URN-R,Beat Path,0.00322,0.16378,0.00322,0.0,0.0,50000
10,"(10, 11)",URN-R,Beat Path,0.03544,0.1089,0.03544,0.0,0.0,50000
10,"(20, 21)",URN-R,Beat Path,0.04292,0.07764,0.04292,0.0,0.0,50000
10,"(50, 51)",URN-R,Beat Path,0.0475,0.05032,0.0475,0.0,0.0,50000
10,"(100, 101)",URN-R,Beat Path,0.04986,0.04094,0.04986,0.0,0.0,50000
10,"(500, 501)",URN-R,Beat Path,0.04956,0.02924,0.04956,0.0,0.0,50000
10,"(1000, 1001)",URN-R,Beat Path,0.05076,0.02792,0.05076,0.0,0.0,50000
10,"(5000, 5001)",URN-R,Beat Path,0.05162,0.02684,0.05162,0.0,0.0,50000
20,"(4, 5)",URN-R,Beat Path,0.01992,0.21114,0.01992,0.0,0.0,50000
20,"(10, 11)",URN-R,Beat Path,0.08426,0.15802,0.08426,0.0,0.0,50000
20,"(20, 21)",URN-R,Beat Path,0.10418,0.12472,0.10418,0.0,0.0,50000
20,"(50, 51)",URN-R,Beat Path,0.10778,0.09014,0.10778,0.0,0.0,50000
20,"(100, 101)",URN-R,Beat Path,0.1154,0.08074,0.1154,0.0,0.0,50000
20,"(500, 501)",URN-R,Beat Path,0.11344,0.06628,0.11344,0.0,0.0,50000
20,"(1000, 1001)",URN-R,Beat Path,0.11642,0.0656,0.11642,0.0,0.0,50000
20,"(5000, 5001)",URN-R,Beat Path,0.11478,0.06074,0.11478,0.0,0.0,50000
30,"(4, 5)",URN-R,Beat Path,0.03752,0.2389,0.03752,0.0,0.0,50000
30,"(10, 11)",URN-R,Beat Path,0.11594,0.18794,0.11594,0.0,0.0,50000
30,"(20, 21)",URN-R,Beat Path,0.14142,0.15034,0.14142,0.0,0.0,50000
30,"(50, 51)",URN-R,Beat Path,0.14874,0.12048,0.14874,0.0,0.0,50000
30,"(100, 101)",URN-R,Beat Path,0.15388,0.10436,0.15388,0.0,0.0,50000
30,"(500, 501)",URN-R,Beat Path,0.15734,0.09118,0.15734,0.0,0.0,50000
30,"(1000, 1001)",URN-R,Beat Path,0.15332,0.08706,0.15332,0.0,0.0,50000
30,"(5000, 5001)",URN-R,Beat Path,0.15566,0.08646,0.15566,0.0,0.0,50000
5,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.00018,0.11798,0.00018,0.0,0.0,50000
5,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.0035,0.05892,0.0035,0.0,0.0,50000
5,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.0035,0.034,0.0035,0.0,0.0,50000
5,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.00322,0.01534,0.00322,0.0,0.0,50000
5,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.00212,0.0078,0.00212,0.0,0.0,50000
5,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.00068,0.00184,0.00068,0.0,0.0,50000
5,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.00052,0.001,0.00052,0.0,0.0,50000
5,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00028,0.0003,0.00028,0.0,0.0,50000
7,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.00088,0.14476,0.00088,0.0,0.0,50000
7,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.00946,0.08242,0.00946,0.0,0.0,50000
7,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.00966,0.0469,0.00966,0.0,0.0,50000
7,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.00746,0.02208,0.00746,0.0,0.0,50000
7,"(100, 101)",MALLOWS-RELPHI-R,Beat Path,0.00556,0.01216,0.00556,0.0,0.0,50000
7,"(500, 501)",MALLOWS-RELPHI-R,Beat Path,0.00242,0.0034,0.00242,0.0,0.0,50000
7,"(1000, 1001)",MALLOWS-RELPHI-R,Beat Path,0.0014,0.00178,0.0014,0.0,0.0,50000
7,"(5000, 5001)",MALLOWS-RELPHI-R,Beat Path,0.00088,0.00066,0.00088,0.0,0.0,50000
10,"(4, 5)",MALLOWS-RELPHI-R,Beat Path,0.00352,0.17662,0.00352,0.0,0.0,50000
10,"(10, 11)",MALLOWS-RELPHI-R,Beat Path,0.02188,0.10104,0.02188,0.0,0.0,50000
10,"(20, 21)",MALLOWS-RELPHI-R,Beat Path,0.02034,0.06424,0.02034,0.0,0.0,50000
10,"(50, 51)",MALLOWS-RELPHI-R,Beat Path,0.01454,0.0324,0.01454,0.0,0.0,50000
