num_cands,num_voters,pm,vm,num_profiles,perc_mult_winners
10,"(50, 51)",IC,Uncovered Set,50000,0.56718
10,"(100, 101)",IC,Split Cycle,50000,0.287
10,"(100, 101)",IC,Beat Path,50000,0.1607
10,"(100, 101)",IC,Copeland,50000,0.20224
10,"(100, 101)",IC,GETCHA,50000,0.55304
10,"(100, 101)",IC,Uncovered Set,50000,0.55304
10,"(500, 501)",IC,Split Cycle,50000,0.2131
10,"(500, 501)",IC,Beat Path,50000,0.07446
10,"(500, 501)",IC,Copeland,50000,0.21612
10,"(500, 501)",IC,GETCHA,50000,0.5199
10,"(500, 501)",IC,Uncovered Set,50000,0.5199
10,"(1000, 1001)",IC,Split Cycle,50000,0.1941
10,"(1000, 1001)",IC,Beat Path,50000,0.05252
10,"(1000, 1001)",IC,Copeland,50000,0.22252
10,"(1000, 1001)",IC,GETCHA,50000,0.50864
10,"(1000, 1001)",IC,Uncovered Set,50000,0.50864
10,"(5000, 5001)",IC,Split Cycle,50000,0.1707
10,"(5000, 5001)",IC,Beat Path,50000,0.02414
10,"(5000, 5001)",IC,Copeland,50000,0.23854
10,"(5000, 5001)",IC,GETCHA,50000,0.50444
10,"(5000, 5001)",IC,Uncovered Set,50000,0.50444
20,"(4, 5)",IC,Split Cycle,50000,0.65852
20,"(4, 5)",IC,Beat Path,50000,0.62076
20,"(4, 5)",IC,Copeland,50000,0.17384
20,"(4, 5)",IC,GETCHA,50000,0.7497
20,"(4, 5)",IC,Uncovered Set,50000,0.7497
20,"(10, 11)",IC,Split Cycle,50000,0.63278
20,"(10, 11)",IC,Beat Path,50000,0.47252
20,"(10, 11)",IC,Copeland,50000,0.17562
20,"(10, 11)",IC,GETCHA,50000,0.76472
20,"(10, 11)",IC,Uncovered Set,50000,0.76472
20,"(20, 21)",IC,Split Cycle,50000,0.58098
20,"(20, 21)",IC,Beat Path,50000,0.38358
20,"(20, 21)",IC,Copeland,50000,0.17272
20,"(20, 21)",IC,GETCHA,50000,0.75508
20,"(20, 21)",IC,Uncovered Set,50000,0.75508
20,"(50, 51)",IC,Split Cycle,50000,0.51602
20,"(50, 51)",IC,Beat Path,50000,0.275
20,"(50, 51)",IC,Copeland,50000,0.17572
20,"(50, 51)",IC,GETCHA,50000,0.74026
20,"(50, 51)",IC,Uncovered Set,50000,0.74026
20,"(100, 101)",IC,Split Cycle,50000,0.46818
20,"(100, 101)",IC,Beat Path,50000,0.20558
20,"(100, 101)",IC,Copeland,50000,0.17566
20,"(100, 101)",IC,GETCHA,50000,0.72592
20,"(100, 101)",IC,Uncovered Set,50000,0.72592
20,"(500, 501)",IC,Split Cycle,50000,0.39658
20,"(500, 501)",IC,Beat Path,50000,0.09834
20,"(500, 501)",IC,Copeland,50000,0.18708
20,"(500, 501)",IC,GETCHA,50000,0.70556
20,"(500, 501)",IC,Uncovered Set,50000,0.70556
20,"(1000, 1001)",IC,Split Cycle,50000,0.37426
20,"(1000, 1001)",IC,Beat Path,50000,0.07056
20,"(1000, 1001)",IC,Copeland,50000,0.19588
20,"(1000, 1001)",IC,GETCHA,50000,0.6975
20,"(1000, 1001)",IC,Uncovered Set,50000,0.6975
20,"(5000, 5001)",IC,Split Cycle,50000,0.34958
20,"(5000, 5001)",IC,Beat Path,50000,0.03192
20,"(5000, 5001)",IC,Copeland,50000,0.20728
20,"(5000, 5001)",IC,GETCHA,50000,0.6866
20,"(5000, 5001)",IC,Uncovered Set,50000,0.6866
30,"(4, 5)",IC,Split Cycle,50000,0.72354
30,"(4, 5)",IC,Beat Path,50000,0.65918
30,"(4, 5)",IC,Copeland,50000,0.15896
30,"(4, 5)",IC,GETCHA,50000,0.80434
30,"(4, 5)",IC,Uncovered Set,50000,0.80434
30,"(10, 11)",IC,Split Cycle,50000,0.71088
30,"(10, 11)",IC,Beat Path,50000,0.50186
30,"(10, 11)",IC,Copeland,50000,0.15762
30,"(10, 11)",IC,GETCHA,50000,0.82264
30,"(10, 11)",IC,Uncovered Set,50000,0.82264
30,"(20, 21)",IC,Split Cycle,50000,0.67394
30,"(20, 21)",IC,Beat Path,50000,0.42132
30,"(20, 21)",IC,Copeland,50000,0.15818
