num_cands,num_voters,pm,vm,perc_diff_sc,perc_diff_sc_ec,perc_refine_sc,perc_supset_sc,perc_disjoint_sc,num_profiles
10,"(50, 51)",IAC,Beat Path,0.136,0.0781,0.136,0.0,0.0,50000
10,"(100, 101)",IAC,Beat Path,0.14278,0.0771,0.14278,0.0,0.0,50000
10,"(500, 501)",IAC,Beat Path,0.14618,0.07844,0.14618,0.0,0.0,50000
10,"(1000, 1001)",IAC,Beat Path,0.1469,0.07904,0.1469,0.0,0.0,50000
10,"(5000, 5001)",IAC,Beat Path,0.14454,0.07628,0.14454,0.0,0.0,50000
20,"(4, 5)",IAC,Beat Path,0.07536,0.05212,0.07536,0.0,0.0,50000
20,"(10, 11)",IAC,Beat Path,0.23924,0.15928,0.23924,0.0,0.0,50000
20,"(20, 21)",IAC,Beat Path,0.28062,0.17872,0.28062,0.0,0.0,50000
20,"(50, 51)",IAC,Beat Path,0.3147,0.19126,0.3147,0.0,0.0,50000
20,"(100, 101)",IAC,Beat Path,0.3183,0.18828,0.3183,0.0,0.0,50000
20,"(500, 501)",IAC,Beat Path,0.3262,0.18562,0.3262,0.0,0.0,50000
20,"(1000, 1001)",IAC,Beat Path,0.32378,0.18188,0.32378,0.0,0.0,50000
20,"(5000, 5001)",IAC,Beat Path,0.32458,0.17864,0.32458,0.0,0.0,50000
30,"(4, 5)",IAC,Beat Path,0.14226,0.1018,0.14226,0.0,0.0,50000
30,"(10, 11)",IAC,Beat Path,0.33762,0.23138,0.33762,0.0,0.0,50000
30,"(20, 21)",IAC,Beat Path,0.39176,0.26224,0.39176,0.0,0.0,50000
30,"(50, 51)",IAC,Beat Path,0.42796,0.27732,0.42796,0.0,0.0,50000
30,"(100, 101)",IAC,Beat Path,0.43716,0.27432,0.43716,0.0,0.0,50000
30,"(500, 501)",IAC,Beat Path,0.43522,0.2574,0.43522,0.0,0.0,50000
30,"(1000, 1001)",IAC,Beat Path,0.43724,0.2539,0.43724,0.0,0.0,50000
30,"(5000, 5001)",IAC,Beat Path,0.4375,0.2526,0.4375,0.0,0.0,50000
5,"(4, 5)",URN-R,Beat Path,4e-05,2e-05,4e-05,0.0,0.0,50000
5,"(10, 11)",URN-R,Beat Path,0.0058,0.0029,0.0058,0.0,0.0,50000
5,"(20, 21)",URN-R,Beat Path,0.00848,0.00424,0.00848,0.0,0.0,50000
5,"(50, 51)",URN-R,Beat Path,0.01,0.005,0.01,0.0,0.0,50000
5,"(100, 101)",URN-R,Beat Path,0.01046,0.0054,0.01046,0.0,0.0,50000
5,"(500, 501)",URN-R,Beat Path,0.01178,0.00612,0.01178,0.0,0.0,50000
5,"(1000, 1001)",URN-R,Beat Path,0.01166,0.00596,0.01166,0.0,0.0,50000
5,"(5000, 5001)",URN-R,Beat Path,0.012,0.00614,0.012,0.0,0.0,50000
7,"(4, 5)",URN-R,Beat Path,0.00092,0.0006,0.00092,0.0,0.0,50000
7,"(10, 11)",URN-R,Beat Path,0.01686,0.00992,0.01686,0.0,0.0,50000
7,"(20, 21)",URN-R,Beat Path,0.02154,0.01192,0.02154,0.0,0.0,50000
7,"(50, 51)",URN-R,Beat Path,0.02582,0.01316,0.02582,0.0,0.0,50000
7,"(100, 101)",URN-R,Beat Path,0.02648,0.01384,0.02648,0.0,0.0,50000
7,"(500, 501)",URN-R,Beat Path,0.02508,0.01246,0.02508,0.0,0.0,50000
7,"(1000, 1001)",URN-R,Beat Path,0.02716,0.01384,0.02716,0.0,0.0,50000
7,"(5000, 5001)",URN-R,Beat Path,0.02642,0.01316,0.02642,0.0,0.0,50000
10,"(4, 5)",URN-R,Beat Path,0.00332,0.0021,0.00332,0.0,0.0,50000
10,"(10, 11)",URN-R,Beat Path,0.0357,0.02106,0.0357,0.0,0.0,50000
10,"(20, 21)",URN-R,Beat Path,0.04488,0.02478,0.04488,0.0,0.0,50000
10,"(50, 51)",URN-R,Beat Path,0.04878,0.02602,0.04878,0.0,0.0,50000
10,"(100, 101)",URN-R,Beat Path,0.04896,0.02618,0.04896,0.0,0.0,50000
10,"(500, 501)",URN-R,Beat Path,0.0497,0.02496,0.0497,0.0,0.0,50000
10,"(1000, 1001)",URN-R,Beat Path,0.05312,0.02766,0.05312,0.0,0.0,50000
10,"(5000, 5001)",URN-R,Beat Path,0.0514,0.02718,0.0514,0.0,0.0,50000
20,"(4, 5)",URN-R,Beat Path,0.0198,0.0136,0.0198,0.0,0.0,50000
20,"(10, 11)",URN-R,Beat Path,0.08334,0.05216,0.08334,0.0,0.0,50000
20,"(20, 21)",URN-R,Beat Path,0.10084,0.0606,0.10084,0.0,0.0,50000
20,"(50, 51)",URN-R,Beat Path,0.11044,0.06224,0.11044,0.0,0.0,50000
20,"(100, 101)",URN-R,Beat Path,0.11216,0.06266,0.11216,0.0,0.0,50000
