num_cands,num_voters,pm,vm,num_profiles,perc_mult_winners
10,"(500, 501)",IC,Copeland,50,0.46
10,"(500, 501)",IC,GETCHA,50,0.7
10,"(500, 501)",IC,Uncovered Set,50,0.7
10,"(1000, 1001)",IC,Split Cycle,50,0.1
10,"(1000, 1001)",IC,Beat Path,50,0.0
10,"(1000, 1001)",IC,Copeland,50,0.2
10,"(1000, 1001)",IC,GETCHA,50,0.5
10,"(1000, 1001)",IC,Uncovered Set,50,0.5
10,"(5000, 5001)",IC,Split Cycle,50,0.22
10,"(5000, 5001)",IC,Beat Path,50,0.04
10,"(5000, 5001)",IC,Copeland,50,0.28
10,"(5000, 5001)",IC,GETCHA,50,0.6
10,"(5000, 5001)",IC,Uncovered Set,50,0.6
20,"(4, 5)",IC,Split Cycle,50,0.86
20,"(4, 5)",IC,Beat Path,50,0.82
20,"(4, 5)",IC,Copeland,50,0.22
20,"(4, 5)",IC,GETCHA,50,0.9
20,"(4, 5)",IC,Uncovered Set,50,0.9
20,"(10, 11)",IC,Split Cycle,50,0.78
20,"(10, 11)",IC,Beat Path,50,0.66
20,"(10, 11)",IC,Copeland,50,0.36
20,"(10, 11)",IC,GETCHA,50,0.96
20,"(10, 11)",IC,Uncovered Set,50,0.96
20,"(20, 21)",IC,Split Cycle,50,0.54
20,"(20, 21)",IC,Beat Path,50,0.32
20,"(20, 21)",IC,Copeland,50,0.18
20,"(20, 21)",IC,GETCHA,50,0.8
20,"(20, 21)",IC,Uncovered Set,50,0.8
20,"(50, 51)",IC,Split Cycle,50,0.34
20,"(50, 51)",IC,Beat Path,50,0.2
20,"(50, 51)",IC,Copeland,50,0.06
20,"(50, 51)",IC,GETCHA,50,0.56
20,"(50, 51)",IC,Uncovered Set,50,0.56
20,"(100, 101)",IC,Split Cycle,50,0.46
20,"(100, 101)",IC,Beat Path,50,0.24
20,"(100, 101)",IC,Copeland,50,0.32
20,"(100, 101)",IC,GETCHA,50,0.86
20,"(100, 101)",IC,Uncovered Set,50,0.86
20,"(500, 501)",IC,Split Cycle,50,0.42
20,"(500, 501)",IC,Beat Path,50,0.06
20,"(500, 501)",IC,Copeland,50,0.36
20,"(500, 501)",IC,GETCHA,50,0.52
20,"(500, 501)",IC,Uncovered Set,50,0.52
20,"(1000, 1001)",IC,Split Cycle,50,0.46
20,"(1000, 1001)",IC,Beat Path,50,0.0
20,"(1000, 1001)",IC,Copeland,50,0.0
20,"(1000, 1001)",IC,GETCHA,50,0.62
20,"(1000, 1001)",IC,Uncovered Set,50,0.62
20,"(5000, 5001)",IC,Split Cycle,50,0.36
20,"(5000, 5001)",IC,Beat Path,50,0.0
20,"(5000, 5001)",IC,Copeland,50,0.26
20,"(5000, 5001)",IC,GETCHA,50,0.64
20,"(5000, 5001)",IC,Uncovered Set,50,0.64
30,"(4, 5)",IC,Split Cycle,50,0.7
30,"(4, 5)",IC,Beat Path,50,0.64
30,"(4, 5)",IC,Copeland,50,0.22
30,"(4, 5)",IC,GETCHA,50,0.74
30,"(4, 5)",IC,Uncovered Set,50,0.74
30,"(10, 11)",IC,Split Cycle,50,0.68
30,"(10, 11)",IC,Beat Path,50,0.58
30,"(10, 11)",IC,Copeland,50,0.04
30,"(10, 11)",IC,GETCHA,50,0.76
30,"(10, 11)",IC,Uncovered Set,50,0.76
30,"(20, 21)",IC,Split Cycle,50,0.72
30,"(20, 21)",IC,Beat Path,50,0.3
30,"(20, 21)",IC,Copeland,50,0.06
30,"(20, 21)",IC,GETCHA,50,0.82
30,"(20, 21)",IC,Uncovered Set,50,0.82
30,"(50, 51)",IC,Split Cycle,50,0.5
30,"(50, 51)",IC,Beat Path,50,0.3
